COMMUNE_NOM,SEXE,YEAR,POP65PLUS,PERC65PLUS
Biwer,M,2021,144.0,0.1520173975466081
Biwer,M,2022,145.0,0.1485701404756293
Biwer,M,2023,144.0,0.1434791706106832
Biwer,M,2024,153.0,0.147342064714946
Biwer,M,2025,152.0,0.1429861529199277
Boulaide,F,2020,106.0,0.114606984538869
Boulaide,F,2021,110.0,0.1161244009036589
Boulaide,F,2022,110.0,0.1127083824297878
Boulaide,F,2023,117.0,0.1165768261211801
Boulaide,F,2024,123.0,0.1184514637904468
Boulaide,F,2025,129.0,0.1213500903070439
Boulaide,M,2020,106.0,0.114606984538869
Boulaide,M,2021,110.0,0.1161244009036589
Boulaide,M,2022,116.0,0.1188561123805034
Boulaide,M,2023,125.0,0.1245478911551069
Boulaide,M,2024,131.0,0.1261556240369799
Boulaide,M,2025,135.0,0.1269942805538832
Bourscheid,F,2020,107.0,0.1156881825062169
Bourscheid,F,2021,116.0,0.1224584591347676
Bourscheid,F,2022,120.0,0.1229545990143139
Bourscheid,F,2023,118.0,0.1175732092504209
Bourscheid,F,2024,119.0,0.1145993836671802
Bourscheid,F,2025,119.0,0.1119431065623118
Bourscheid,M,2020,88.0,0.0951454211266082
Bourscheid,M,2021,89.0,0.0939551970947786
Bourscheid,M,2022,98.0,0.1004129225283564
Bourscheid,M,2023,106.0,0.1056166116995307
Bourscheid,M,2024,108.0,0.1040061633281972
Bourscheid,M,2025,115.0,0.108180313064419
Bous-Waldbredimus,F,2020,110.0,0.1189317764082603
Bous-Waldbredimus,F,2021,115.0,0.1214027827629161
Bous-Waldbredimus,F,2022,120.0,0.1229545990143139
Bous-Waldbredimus,F,2023,229.0,0.2281717365961559
Bous-Waldbredimus,F,2024,235.0,0.2263097072419106
Bous-Waldbredimus,F,2025,243.0,0.2285897049969897
Bous-Waldbredimus,M,2020,96.0,0.1037950048653908
Bous-Waldbredimus,M,2021,104.0,0.1097903426725502
Bous-Waldbredimus,M,2022,102.0,0.1045114091621668
Bous-Waldbredimus,M,2023,211.0,0.2102368402698205
Bous-Waldbredimus,M,2024,224.0,0.2157164869029275
Bous-Waldbredimus,M,2025,231.0,0.2173013245033112
Clervaux,F,2020,473.0,0.5114066385555195
Clervaux,F,2021,480.0,0.5067246584886936
Clervaux,F,2022,498.0,0.510261585909403
Clervaux,F,2023,528.0,0.5260902922391718
Clervaux,F,2024,559.0,0.5383281972265023
Clervaux,F,2025,569.0,0.5352573750752558
Clervaux,M,2020,394.0,0.4259919991350416
Clervaux,M,2021,419.0,0.4423283998057555
Clervaux,M,2022,435.0,0.4457104214268881
Clervaux,M,2023,473.0,0.4712892201309248
Clervaux,M,2024,483.0,0.4651386748844376
Clervaux,M,2025,492.0,0.4628236002408188
Colmar-Berg,F,2020,168.0,0.181641258514434
Colmar-Berg,F,2021,174.0,0.1836876887021514
Colmar-Berg,F,2022,175.0,0.1793087902292078
Colmar-Berg,F,2023,169.0,0.1683887488417046
Colmar-Berg,F,2024,179.0,0.1723805855161787
Colmar-Berg,F,2025,183.0,0.1721478025285972
